time_period,time_identifier,version,geographic_level,country_code,country_name,characteristic_gender,table,school_type,characteristic_admission_type,characteristic_religious_denomination,subject,qualification_type,subject_entry,total_achieving_9_1,total_achieving_9_4,total_achieving_9_5,total_achieving_a_b,total_achieving_a_e,total_achieving_level_1_pass,total_achieving_level_2_pass,percentage_achieving_9_1,percentage_achieving_9_4,percentage_achieving_9_5,percentage_achieving_a_b,percentage_achieving_a_e,percentage_achieving_level_1_pass,percentage_achieving_level_2_pass
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Geography,GCSE,123689,122427,97752,82231,z,z,z,z,99,79,66,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Geography,GCSE,267426,264352,205088,168547,z,z,z,z,99,77,63,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,German,GCSE,17904,17835,15150,12175,z,z,z,z,100,85,68,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,German,GCSE,19185,19115,17296,14866,z,z,z,z,100,90,77,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,German,GCSE,37089,36950,32446,27041,z,z,z,z,100,87,73,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,History,GCSE,133820,131236,97041,76521,z,z,z,z,98,73,57,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,History,GCSE,144013,142006,114033,95857,z,z,z,z,99,79,67,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,History,GCSE,277833,273242,211074,172378,z,z,z,z,98,76,62,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Latin,GCSE,4345,4340,4259,4160,z,z,z,z,100,98,96,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Latin,GCSE,4602,4590,4516,4413,z,z,z,z,100,98,96,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Latin,GCSE,8947,8930,8775,8573,z,z,z,z,100,98,96,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Mathematics,GCSE,296823,292676,227683,171889,z,z,z,z,99,77,58,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Mathematics,GCSE,287950,284997,226483,172837,z,z,z,z,99,79,60,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Mathematics,GCSE,584773,577673,454166,344726,z,z,z,z,99,78,59,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Mathematics & science,GCSE,289766,284956,197754,141461,z,z,z,z,98,68,49,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Mathematics & science,GCSE,283588,280035,203224,148203,z,z,z,z,99,72,52,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Mathematics & science,GCSE,573354,564991,400978,289664,z,z,z,z,99,70,51,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Media/Film/TV,GCSE,14092,13847,10217,7435,z,z,z,z,98,73,53,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Media/Film/TV,GCSE,13394,13252,11582,9801,z,z,z,z,99,86,73,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Media/Film/TV,GCSE,27486,27099,21799,17236,z,z,z,z,99,79,63,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Music,GCSE,16518,16324,14055,12246,z,z,z,z,99,85,74,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Music,GCSE,18947,18795,17095,15291,z,z,z,z,99,90,81,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Music,GCSE,35465,35119,31150,27537,z,z,z,z,99,88,78,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Other Modern Languages,GCSE,10990,10733,10045,9348,z,z,z,z,98,91,85,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Other Modern Languages,GCSE,12983,12749,12277,11695,z,z,z,z,98,95,90,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Other Modern Languages,GCSE,23973,23482,22322,21043,z,z,z,z,98,93,88,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Other Sciences,GCSE,1877,1869,1703,1558,z,z,z,z,100,91,83,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Other Sciences,GCSE,613,611,560,520,z,z,z,z,100,91,85,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Other Sciences,GCSE,2490,2480,2263,2078,z,z,z,z,100,91,83,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Physical Education,GCSE,44457,44317,37588,31156,z,z,z,z,100,85,70,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Physical Education,GCSE,26415,26355,23980,21475,z,z,z,z,100,91,81,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Physical Education,GCSE,70872,70672,61568,52631,z,z,z,z,100,87,74,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Physics,GCSE,81480,81283,77582,71520,z,z,z,z,100,95,88,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Physics,GCSE,81448,81281,77729,71413,z,z,z,z,100,95,88,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Physics,GCSE,162928,162564,155311,142933,z,z,z,z,100,95,88,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Religious Studies,GCSE,102547,100683,75851,60422,z,z,z,z,98,74,59,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Religious Studies,GCSE,121249,120157,103151,89963,z,z,z,z,99,85,74,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Religious Studies,GCSE,223796,220840,179002,150385,z,z,z,z,99,80,67,z,z,z,z
